debugnonce_start:  0
Mining block template, height 827344...
header:  b'\x00\x00\x00 R\x99p\x9d\x0c\x03\xdb\xf9\x1f\x81\x13\x9e\xf9\xf3\xa5\xe5-\xdd\x18\x9d!\xb4\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xf8\x00\x80\x14\xef9\x18\xdc\x8d;\x1d\xe0\xd0/-<\xd8M\xebZ\x1a\x86\xfd\x8e\xcc\x12\x1b\xda\xbb\xb2\xff4\xa2\xa1\xb2eZ\x00\x04\x17\x00\x00\x00\x00'
0   3f74573dafcaa0a1dcb4a6e9d0b328d257a94fd50db8bf491e8d36a6b96def79   00000000000000000004005a0000000000000000000000000000000000000000
1000000   e18b717e48a1e32be91a9f94af0dc9c4dd7c158fc8d349b724608882daf448fe   00000000000000000004005a0000000000000000000000000000000000000000
2000000   a0fb1d01d482e358645856092c514b106cb1aa2d490496261a78ef8aebaa15d3   00000000000000000004005a0000000000000000000000000000000000000000
3000000   dca9654a7e72c2b5449c6b93ef270e8dc424599a46eb80b9d84bae5e8764965c   00000000000000000004005a0000000000000000000000000000000000000000
4000000   4908127c89f62dd4cdd67283b7823aff5e82c950266b3fec18e02bfc642e8835   00000000000000000004005a0000000000000000000000000000000000000000
5000000   47d07c71d6438744d285d387b10ea2ea2a47105a5cefc438ac57f41a498e6662   00000000000000000004005a0000000000000000000000000000000000000000
6000000   18d3aed714d1e87981367f834d8950717e25bfd95bc327e42c88ad98d8f874b6   00000000000000000004005a0000000000000000000000000000000000000000
7000000   303f07cdc34314b9ec3cb096156670c736f82cfa0603b21e819a1cbcbed852b5   00000000000000000004005a0000000000000000000000000000000000000000
8000000   36bd6b6f4f476dc82f98795f480aec21cdc9f940793b07c9f2bf66192cdae075   00000000000000000004005a0000000000000000000000000000000000000000
9000000   0110a0119dda3b0f810e50c47c4d2c6b02bee8fb080d62db5499b5a96ea71cf0   00000000000000000004005a0000000000000000000000000000000000000000
10000000   2a6ced37d364adb4a509cfa3c827125c90633d8c2e75529899e7dce32c354328   00000000000000000004005a0000000000000000000000000000000000000000
11000000   de0af1565944b29635ec8d0112d2c08607568a4d4ce7acf0c3d6c24d28fd6bf4   00000000000000000004005a0000000000000000000000000000000000000000
12000000   ba8b8651d9a5b2a582bf9d67c80c33fb3f23e5416c483f23fbc6f8a3d42961fe   00000000000000000004005a0000000000000000000000000000000000000000
13000000   adfb2155e4c9fd58be44095c0defd2b64a47d01669e4dbbd6676914209926af2   00000000000000000004005a0000000000000000000000000000000000000000
14000000   6bb7611681a8be6d3371845b2498607b76ecda1af75a4ca18fe5430d748f3d64   00000000000000000004005a0000000000000000000000000000000000000000
15000000   4db3e140a0dc61747064ab0841f977021bf266b87ba6ce0f53cccd0d3a9c03f7   00000000000000000004005a0000000000000000000000000000000000000000
16000000   f658f59312a0ff32e04dd54d03535937d1ec1beae52730f205320570f20c85b9   00000000000000000004005a0000000000000000000000000000000000000000
17000000   2ecd822457f5493ae78e1666823898a09bb77772908a97348697696ba407c66f   00000000000000000004005a0000000000000000000000000000000000000000
18000000   e7c8fa2c9641a5742f787d48c39b1b8b0c686bd5c7b8d50cc065bf30ffe23d49   00000000000000000004005a0000000000000000000000000000000000000000
19000000   4fc796aa52476c6064e376bd6ff3e26462bfd024f96704edc3381b646466515a   00000000000000000004005a0000000000000000000000000000000000000000
20000000   43fb73d4abb79f10dbf0f57fefbae0fc2d9cdc0e679a1784ee16af8e908124d0   00000000000000000004005a0000000000000000000000000000000000000000
21000000   1688d477e1f49e6e227be244e848be8c8a79d4b2a07e69502a0632f31bb49e1d   00000000000000000004005a0000000000000000000000000000000000000000
22000000   3c1e1db21294b8e8b6906f908781e055977be922889f5f91feaa4a448c05d485   00000000000000000004005a0000000000000000000000000000000000000000
23000000   5f02f25cc07668573680b182db4afa3f8263bcbfb73f9a614f9ccda0103b9af8   00000000000000000004005a0000000000000000000000000000000000000000
24000000   3dfa759b6562cb60a11323147bdc44a3fe2d9240ca858fc21ab171ae7ddafa8a   00000000000000000004005a0000000000000000000000000000000000000000
new_height:  827345
debugnonce_start:  0
Mining block template, height 827345...
header:  b'\x00\x00\x00 3\xeeH\xa5`\x1dp\xdc\xdaYl\x9f\x94^\\\xe08{h\x16B\xd1\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00zb\xd5!\x17\x16\x87\xbck\xd5k\xa2\xf3\x8cO2\xc1\xf5j\xa5-\x97\x9b\xd1\xb1\x91\xd4;\x02\x0e\x1c^\x89\xa2\xb2eZ\x00\x04\x17\x00\x00\x00\x00'
0   3fc74c925d94b550db3c6e52aa267898c554c791eb30bb162a64a8198899c6bf   00000000000000000004005a0000000000000000000000000000000000000000
1000000   64a6c76181dd3d38b2af85a16642fb6cd2cb48efc239cdf7dcfea604bf8a2a8e   00000000000000000004005a0000000000000000000000000000000000000000
2000000   ff28f931aa4db8588620e2d24b0dafa9f2b5efd6fb70fe952c6082ea2a280811   00000000000000000004005a0000000000000000000000000000000000000000
