debugnonce_start:  3000000000
Mining block template, height 827344...
header:  b'\x00\x00\x00 R\x99p\x9d\x0c\x03\xdb\xf9\x1f\x81\x13\x9e\xf9\xf3\xa5\xe5-\xdd\x18\x9d!\xb4\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x8d\x96\xe6\x91S\xb6\xbf\x8d\xa4.\xdf\x1d.1\xee\xc1?\xd0_W\xda\xcdd\xdb\xa3p\x03\xd0\xeaK\xe0\xbe\xa2\xa1\xb2eZ\x00\x04\x17\x00\x00\x00\x00'
3000000000   a4d4affa823b5f0088e111639e0bd727bd553b49731bd8f34dc885af1b47ced5   00000000000000000004005a0000000000000000000000000000000000000000
3001000000   bdd84b59fa81ae241055b486ffd2e23856e1e0492934e43c5837c3ab6c60253a   00000000000000000004005a0000000000000000000000000000000000000000
3002000000   1c9e1992e9bae1ca43b36e35b830161f7b8a9ae853a3462a7cf1ae98a7b39b08   00000000000000000004005a0000000000000000000000000000000000000000
3003000000   b610cc8372c7001c15499348fe1e46d30cada69215cde2929dee099526c96131   00000000000000000004005a0000000000000000000000000000000000000000
3004000000   30dc4079042d5b90321db24c179d4bbc19f56ab8a4aeba78e9944a561eb4856e   00000000000000000004005a0000000000000000000000000000000000000000
3005000000   a121876f95eedb5b67bf3b39ee0a9d300439f24d0bd894bfac3a87448740264a   00000000000000000004005a0000000000000000000000000000000000000000
3006000000   88f0ff0e0b550cb2872fe06bf876698f23d35aebadc09f234cf3e5f621c4cb8c   00000000000000000004005a0000000000000000000000000000000000000000
3007000000   f5a042af2a572ed90f214071b7a119f8b7e078ac9c8c400570e184ad474d0c96   00000000000000000004005a0000000000000000000000000000000000000000
3008000000   1524d5a100fce5676e149ee7a685eb1478b3cddf0ca8602c82e768fdfd2e27df   00000000000000000004005a0000000000000000000000000000000000000000
3009000000   61b8d3889ec9ea191fb8b9edad529844caf81d54597e5c9fcf81937c2e5dadd7   00000000000000000004005a0000000000000000000000000000000000000000
3010000000   1ded66c8e40930c3a297f13f02575a34c911421957a71b8db47c3819c861db6b   00000000000000000004005a0000000000000000000000000000000000000000
3011000000   9a4b1f9770cfbf54281434e9a9cd1c23686088381bfc3e44aebf31a08b39bc05   00000000000000000004005a0000000000000000000000000000000000000000
3012000000   d07eb4cf7d24ab63927820e0f33f1db8964efad08dee5d5a951545e536edfddd   00000000000000000004005a0000000000000000000000000000000000000000
3013000000   a75891f0a58853a5db9017183d6b77c853509be227e7b900dbad416a4102a7ac   00000000000000000004005a0000000000000000000000000000000000000000
3014000000   8a479861ad3eed215d47bd2ca658462c6bef0cf9c766c5142525ffb77cdca86c   00000000000000000004005a0000000000000000000000000000000000000000
3015000000   cf6a48ee1447cd327769f43b515b9d57cdb13263e50b8c088c00e96137c8e52e   00000000000000000004005a0000000000000000000000000000000000000000
3016000000   bb57ddcd56583eeb1ffd232d80794e866adfc1fba1a9af56d4709aec1b428871   00000000000000000004005a0000000000000000000000000000000000000000
3017000000   1184c540daf53e0f53865d91c66e1979e8e214c75f2f7317aff821de27af0176   00000000000000000004005a0000000000000000000000000000000000000000
3018000000   d49054c83bd7fe51f8d116b96a08d7e813e03332f1a3001d1ff8eff2df31dd05   00000000000000000004005a0000000000000000000000000000000000000000
3019000000   43eb9c9f1e2974e50404f270b3078ae648ac716eb27c264bdbb3c986f57ceb0b   00000000000000000004005a0000000000000000000000000000000000000000
3020000000   3b2b722a53c16701f5678793a71f1e824f6b88ca6e94049e5f872918a326d032   00000000000000000004005a0000000000000000000000000000000000000000
3021000000   95c97eeb5e0dcce4fd24aca12d31c746e7d2ebe85821aed61566c18ff20cfeb3   00000000000000000004005a0000000000000000000000000000000000000000
3022000000   621aaea5f946e85ded36f48a831f4fae06909e2c2e838d691ac1ff9bb627177c   00000000000000000004005a0000000000000000000000000000000000000000
3023000000   7fa6964e3fa84e3347d59400c59e39025566e7283426ce1ec10836bd44fc1bc7   00000000000000000004005a0000000000000000000000000000000000000000
3024000000   2869661c93ef58805620a1845506dc67106cd72875b604ead2b32d395d9c140a   00000000000000000004005a0000000000000000000000000000000000000000
new_height:  827345
debugnonce_start:  3000000000
Mining block template, height 827345...
